[2018-07-07 16:21:00:0577] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-07 16:21:01:0347] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-07 16:21:01:0349] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-07 16:21:01:0408] | CInterfaceManager.cpp-L1122: remalloc RecvBuf succeed, [7634848]
[2018-07-07 16:21:01:0464] | CInterfaceManager.cpp-L4396: Camctrl RecvThread Start, ThreadId[12136]
[2018-07-07 16:21:01:0464] | CInterfaceManager.cpp-L4226: Camctrl DisplayThread Start, ThreadId[2840]
[2018-07-07 16:21:02:0731] |         MvRender.cpp-L0093: RenderMode GDI
[2018-07-07 16:21:25:0776] |         XmlParse.cpp-L2616: SetNodeValue [ExposureTime], [Value 5446508.000000 must be smaller than or equal 2000000.000000. : OutOfRangeException thrown in node 'ExposureTime' while calling 'ExposureTime.SetValue()' (file 'FloatT.h', line 85)]
[2018-07-07 16:23:12:0453] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-07 16:23:12:0455] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-07 16:23:12:0457] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-07 16:23:22:0004] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-07 16:23:22:0005] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-07 16:23:22:0007] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-07 16:23:45:0572] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-07 16:23:45:0574] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-07 16:23:45:0576] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-07 16:24:05:0053] | CInterfaceManager.cpp-L4384: DisplayProcess exit
[2018-07-07 16:24:05:0076] | CInterfaceManager.cpp-L4591: RecvThreadProcess exit
[2018-07-07 16:24:05:0088] | CInterfaceManager.cpp-L1267: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-07-10 22:31:24:0893] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:31:25:0700] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-10 22:31:25:0702] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-10 22:31:25:0819] | CInterfaceManager.cpp-L1122: remalloc RecvBuf succeed, [31659008]
[2018-07-10 22:31:25:0942] | CInterfaceManager.cpp-L4396: Camctrl RecvThread Start, ThreadId[15492]
[2018-07-10 22:31:25:0942] | CInterfaceManager.cpp-L4226: Camctrl DisplayThread Start, ThreadId[15472]
[2018-07-10 22:31:30:0202] |         MvRender.cpp-L0093: RenderMode GDI
[2018-07-10 22:32:47:0418] | CInterfaceManager.cpp-L4384: DisplayProcess exit
[2018-07-10 22:32:47:0453] | CInterfaceManager.cpp-L4591: RecvThreadProcess exit
[2018-07-10 22:32:47:0493] | CInterfaceManager.cpp-L1267: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-07-10 22:35:03:0085] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:35:03:0869] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-10 22:35:03:0871] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-10 22:49:13:0597] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:49:14:0430] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-10 22:49:14:0433] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-10 22:49:45:0318] | CInterfaceManager.cpp-L1122: remalloc RecvBuf succeed, [31659008]
[2018-07-10 22:49:45:0456] | CInterfaceManager.cpp-L4396: Camctrl RecvThread Start, ThreadId[13060]
[2018-07-10 22:49:45:0456] | CInterfaceManager.cpp-L4226: Camctrl DisplayThread Start, ThreadId[14112]
[2018-07-10 22:49:49:0033] |         MvRender.cpp-L0093: RenderMode GDI
[2018-07-10 22:50:00:0275] | CInterfaceManager.cpp-L4384: DisplayProcess exit
[2018-07-10 22:50:00:0312] | CInterfaceManager.cpp-L4591: RecvThreadProcess exit
[2018-07-10 22:50:00:0353] | CInterfaceManager.cpp-L1267: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-07-10 22:51:26:0877] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:51:27:0655] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-10 22:51:27:0657] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-10 22:52:22:0123] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:52:39:0240] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-10 22:52:40:0116] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-10 22:52:40:0119] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-10 22:52:44:0748] | CInterfaceManager.cpp-L1122: remalloc RecvBuf succeed, [31659008]
[2018-07-10 22:52:44:0865] | CInterfaceManager.cpp-L4226: Camctrl DisplayThread Start, ThreadId[14700]
[2018-07-10 22:52:44:0865] | CInterfaceManager.cpp-L4396: Camctrl RecvThread Start, ThreadId[15024]
[2018-07-10 22:52:48:0159] |         MvRender.cpp-L0093: RenderMode GDI
[2018-07-10 22:53:29:0373] | CInterfaceManager.cpp-L4384: DisplayProcess exit
[2018-07-10 22:53:29:0408] | CInterfaceManager.cpp-L4591: RecvThreadProcess exit
[2018-07-10 22:53:29:0433] | CInterfaceManager.cpp-L1267: getfcnt [0], getfcntsucceed[0], totalRecv[0] 
[2018-07-12 21:38:23:0527] | CInterfaceManager.cpp-L4755: CamCtrl[2040003], GigE SDKVersion(2040003), DriverVersion(2040003)
[2018-07-12 21:38:24:0338] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeLowerLimit], Unknow Exception
[2018-07-12 21:38:24:0340] |         XmlParse.cpp-L2583: GetNodeValue [AutoExposureTimeUpperLimit], Unknow Exception
[2018-07-12 21:38:24:0429] | CInterfaceManager.cpp-L1122: remalloc RecvBuf succeed, [21106688]
[2018-07-12 21:38:24:0522] | CInterfaceManager.cpp-L4396: Camctrl RecvThread Start, ThreadId[16820]
[2018-07-12 21:38:24:0522] | CInterfaceManager.cpp-L4226: Camctrl DisplayThread Start, ThreadId[13640]
[2018-07-12 21:38:27:0084] |         MvRender.cpp-L0093: RenderMode GDI
[2018-07-12 21:38:45:0839] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-12 21:38:45:0841] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-12 21:38:45:0843] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-12 21:39:04:0452] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-12 21:39:04:0455] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-12 21:39:04:0459] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-12 21:39:58:0937] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-12 21:39:58:0940] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
[2018-07-12 21:39:58:0948] |         XmlParse.cpp-L2398: SetNodeValue [GainAuto], nSdkErrCode[80000206]
[2018-07-12 21:46:09:0713] |         XmlParse.cpp-L2398: SetNodeValue [ExposureMode], nSdkErrCode[80000206]
[2018-07-12 21:46:09:0719] |         XmlParse.cpp-L2814: SetNodeValue [AcquisitionFrameRateEnable], nSdkErrCode[80000206]
